ChEMBL_ID;SMILES;IC50_COX1_median;IC50_COX2_median;IC50_COX1_mean;IC50_COX2_mean
CHEMBL146773;CS(=O)(=O)Nc1cc2c(cc1Nc1ccc(F)cc1F)C(=O)CC2;;1000.0;;1000.0
CHEMBL146854;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCCO)c1Cl;;1000.0;;1000.0
CHEMBL146920;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NOC(C)(C)C)c1Cl;;66000.0;;66000.0
CHEMBL147016;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NOCc2ccc([N+](=O)[O-])cc2)c1Cl;;66000.0;;66000.0
CHEMBL147074;CC(C)(COc1ccc(Br)cc1)C(=O)NCCCN1c2ccccc2Sc2ccccc21;;21000.0;;21000.0
CHEMBL147141;COC(=O)[C@@H](C)NC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;6000.0;;6000.0
CHEMBL147165;O=S(=O)(Nc1ccncc1Oc1ccccc1)C(F)(F)F;1170.0;510.0;1170.0;510.0
CHEMBL14735;CC1(C)COc2ccc(C(=O)CCCC3CC3)cc21;25000.0;8000.0;25000.0;8000.0
CHEMBL147580;CS(=O)(=O)Nc1cc2c(cc1Oc1ccc(F)cc1F)C(=O)CC2;;21.0;;21.0
CHEMBL147607;NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1CO;;592.0;;592.0
CHEMBL14767;CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CS2;1500.0;150.0;1500.0;150.0
CHEMBL147704;NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2cccc(F)c2)cc1CO;;7050.0;;7050.0
CHEMBL148100;COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1;;365.0;;365.0
CHEMBL148153;CS(=O)(=O)Nc1cc2c(cc1Sc1ccc(Cl)cc1Cl)C(=O)CC2;40000.0;10.0;40000.0;10.0
CHEMBL148428;NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1CO;;712.0;;712.0
CHEMBL148542;CS(=O)(=O)Nc1ccncc1Oc1ccccc1;4900.0;37500.0;4900.0;37500.0
CHEMBL148545;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCCOc2ccccc2)c1Cl;;66000.0;;66000.0
CHEMBL148568;CCc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1;;1380.0;;1380.0
CHEMBL148629;COC(=O)CNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;1200.0;;1200.0
CHEMBL148666;CSc1ccc(-c2nc3sccn3c2-c2ccccc2)cc1;78.0;5000.0;78.0;5000.0
CHEMBL148691;CCSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1;;51200.0;;51200.0
CHEMBL148708;CS(=O)(=O)c1ccc(-c2c(-c3ccc(Cl)cc3)nc3sc(Cl)cn23)cc1;;16.0;;16.0
CHEMBL148931;CCCCCCCCNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;60.0;;60.0
CHEMBL148976;CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nc3sccn23)cc1;;14.0;;14.0
CHEMBL149032;CC(S)CN1c2ccccc2Sc2ccccc21;500.0;4000.0;500.0;4000.0
CHEMBL149040;Cc1cn2c(-c3ccccc3)c(-c3ccc(S(C)(=O)=O)cc3)nc2s1;;140.0;;140.0
CHEMBL149076;Cc1csc2nc(-c3ccccc3)c(-c3ccc(S(C)(=O)=O)cc3)n12;;3000.0;;3000.0
CHEMBL149134;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCCc2ccccc2)c1Cl;;4000.0;;4000.0
CHEMBL149167;Cc1csc2nc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n12;;1000.0;;1000.0
CHEMBL149213;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCCCCl)c1Cl;;2400.0;;2400.0
CHEMBL149335;CCOC(=O)CNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;4000.0;;4000.0
CHEMBL149597;CS(=O)(=O)c1ccc(-c2c(-c3ccc(Cl)cc3)nc3sc(Cl)c(Cl)n23)cc1;;3600.0;;3600.0
CHEMBL149775;COCCNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;3000.0;;3000.0
CHEMBL149781;CC(=O)NCc1cc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)ccc1S(N)(=O)=O;;6850.0;;6850.0
CHEMBL149936;CCOC(=O)c1csc2nc(-c3ccccc3)c(-c3ccc(S(C)(=O)=O)cc3)n12;;900.0;;900.0
CHEMBL150006;CS(=O)(=O)c1ccc(-c2nc3sccn3c2-c2ccccc2)cc1;;3210.0;;3210.0
CHEMBL150099;COC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;4000.0;;4000.0
CHEMBL15014;CCC1(C)COc2ccc(C(=O)CCCC3CC3)cc21;20000.0;5000.0;20000.0;5000.0
CHEMBL15039;CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CCN2C;2000.0;300.0;2000.0;300.0
CHEMBL15058;CC(C)(C)c1cc(C(=O)CCCC2CC2)cc2c1OCCC2(C)C;20000.0;3000.0;20000.0;3000.0
CHEMBL151042;NS(=O)(=O)c1ccc(-c2cc3c(cc2Cc2ccccc2)OCO3)cc1;25000.0;50.0;25000.0;50.0
CHEMBL151322;COC(=O)[C@H](C)NC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;2600.0;;2600.0
CHEMBL151441;COCCCNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl;;11000.0;;11000.0
CHEMBL151658;CC(O)CN1c2ccccc2Sc2ccccc21;1000.0;5000.0;1000.0;5000.0
CHEMBL151929;Cc1ccc(Cl)c(Nc2ccccc2C(=O)N[C@@H](C)C(=O)O)c1Cl;;33000.0;;33000.0
CHEMBL153;Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2;130.0;150.0;130.0;150.0
CHEMBL153829;CS(=O)(=O)c1ccc(-c2cnn(CC3CC3)c(=O)c2-c2ccccc2)cc1;;70.0;;70.0
CHEMBL154;COc1ccc2cc([C@H](C)C(=O)O)ccc2c1;11000.0;12400.0;8970.0;94058.53846153847
CHEMBL154253;CC1(Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2=O)CC1;;200.0;;200.0
CHEMBL154373;Cc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1;;10.0;;10.0
CHEMBL154422;CS(=O)(=O)c1ccc(-c2cnn(Cc3cccnc3)c(=O)c2-c2ccccc2)cc1;;1300.0;;1300.0
CHEMBL154480;CC1(C)CC1Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O;;30.0;;30.0
CHEMBL154533;CCCCCc1cc(O)cc(O)c1;;17260.0;;17260.0
CHEMBL154589;Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1;;10000.0;;10000.0
CHEMBL154839;COc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1;;470.0;;470.0
CHEMBL154907;Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccccc2)c1=O;;300.0;;300.0
CHEMBL155206;CS(=O)(=O)c1ccc(-c2cnn(Cc3ccccc3)c(=O)c2Sc2ccccc2)cc1;;370.0;;370.0
CHEMBL155247;CC(C1CC1)n1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O;;200.0;;200.0
CHEMBL155587;Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)cnn(Cc3ccccc3)c2=O)cn1;;1200.0;;1200.0
CHEMBL155658;Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1;1000.0;140.0;1000.0;140.0
