ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A67C362N282,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(CC(O)CO)C2=O)cc1C,195.01061999999996,73.13,5,2.5647400000000014,386.39800000000014,2,4,101.59360000000002,28,28,3,21,7
A67C362N660,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(CC3CCOC3)C2=O)cc1C,192.23178,41.9,4,4.248040000000004,396.43700000000024,0,3,107.42700000000004,29,29,4,23,6
A67C362N101,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(CCO)C2=O)cc1C,165.70995999999997,52.9,4,3.2038400000000022,356.3720000000001,1,3,95.58680000000003,26,26,3,20,6
A67C362N277,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3ccc(Cl)nn3)C2=O)cc1C,197.20432,58.45,3,4.8595400000000035,424.83800000000014,0,4,111.31600000000002,30,30,4,22,8
A67C362N79,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3nncs3)C2=O)cc1C,184.13295999999997,86.69,3,4.267640000000003,396.4220000000001,0,5,104.18300000000002,28,28,4,20,8
A67C204N101,Cc1ccc(/C=C2\N=C(c3ccc(Cl)c(S(N)(=O)=O)c3)N(CCO)C2=O)cc1C,198.2186,121.44,5,2.22644,433.91700000000026,2,5,112.05400000000003,29,29,3,20,9
A67C561N101,Cc1ccc(/C=C2\N=C(c3ccc(F)cc3Br)N(CCO)C2=O)cc1C,190.56466,52.9,4,3.8272400000000024,417.2780000000002,1,3,103.32880000000003,26,26,3,20,6
A67C127N101,Cc1ccc(C2=N/C(=C\c3ccc(C)c(C)c3)C(=O)N2CCO)s1,190.76761,81.14,4,3.2955600000000023,340.4480000000001,1,4,98.28480000000005,24,24,3,19,5
A113C77N116,Cc1ccc(N2C(=O)/C(=C/c3cc(C)ccc3O)N=C2CN(C)C)c(F)c1,195.43415,56.14000000000001,4,3.495940000000002,367.42400000000015,1,4,105.43280000000004,27,27,3,21,6
A67C77N116,Cc1ccc(N2C(=O)/C(=C/c3ccc(C)c(C)c3)N=C2CN(C)C)c(F)c1,190.44253,35.910000000000004,4,4.098760000000004,365.45200000000017,0,3,108.50500000000005,27,27,3,22,5
A113C173N101,Cc1ccc(O)c(/C=C2\N=C(C(c3ccccc3)c3ccccc3)N(CCO)C2=O)c1,192.44622,73.13,6,4.106620000000004,412.48900000000015,2,4,121.78160000000003,31,31,4,26,5
